_id,FIRST_NAME,LAST_NAME,DEPARTMENT,COLLEGE,ROLE,MOBILE,MAIL_ID,PASSWORD
FECE200,,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000000,aaa@aaa.com,password
FECE201,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,dfsafd,aaa@aaa.com,password
FECE202,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000002,aaa@aaa.com,password
FECE203,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000003,ddddd,password
FECE204,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000004,ddddd,password
FECE205,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000005,aaa@aaa.com,password
FECE206,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000006,aaa@aaa.com,
FECE207,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,,aaa@aaa.com,password
FECE208,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000008,aaa@aaa.com,password
FECE209,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000009,aaa@aaa.com,password
FECE210,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000010,aaa@aaa.com,password
FECE211,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000011,aaa@aaa.com,password
FECE212,A,a,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000012,aaa@aaa.com,password
FECE213,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000013,aaa@aaa.com,password
FECE214,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000014,aaa@aaa.com,password
FECE215,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000015,aaa@aaa.com,password
FECE216,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000016,aaa@aaa.com,password
FECE217,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000017,aaa@aaa.com,password
FECE218,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000018,aaa@aaa.com,password
FECE219,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000019,aaa@aaa.com,password
FECE220,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000020,a.com,password
FECE221,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000021,aaa@aaa.com,password
FECE222,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000022,aaa@aaa.com,password
