_id,FIRST_NAME,LAST_NAME,DEPARTMENT,COLLEGE,ROLE,MOBILE,MAIL_ID,PASSWORD
FECE102,,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000000,aaa@aaa.com,password
FECE103,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,dfsafd,aaa@aaa.com,password
FECE104,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000002,aaa@aaa.com,password
FECE105,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000003,ddddd,password
FECE106,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000004,ddddd,password
FECE107,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000005,aaa@aaa.com,password
FECE108,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000006,aaa@aaa.com,
FECE109,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,,aaa@aaa.com,password
FECE110,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000008,aaa@aaa.com,password
FECE111,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000009,aaa@aaa.com,password
FECE112,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000010,aaa@aaa.com,password
FECE113,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000011,aaa@aaa.com,password
FECE114,A,,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000012,aaa@aaa.com,password
FECE115,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000013,aaa@aaa.com,password
FECE116,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000014,aaa@aaa.com,password
FECE117,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000015,aaa@aaa.com,password
FECE118,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000016,aaa@aaa.com,password
FECE119,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000017,aaa@aaa.com,password
FECE120,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000018,aaa@aaa.com,password
FECE121,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000019,aaa@aaa.com,password
FECE122,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000020,aaa@aaa.com,password
FECE123,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000021,aaa@aaa.com,password
FECE124,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000022,aaa@aaa.com,password
