_id,FIRST_NAME,LAST_NAME,DEPARTMENT,COLLEGE,ROLE,MOBILE,MAIL_ID,PASSWORD
FECE001,dkjfsl,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000000,aaa@aaa.com,password
FECE002,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,dfsafd,aaa@aaa.com,password
FECE003,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000002,aaa@aaa.com,password
FECE004,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000003,ddddd,password
FECE005,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000004,ddddd,password
FECE006,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000005,aaa@aaa.com,password
FECE007,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000006,aaa@aaa.com,ddfdf
FECE008,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,,aaa@aaa.com,password
FECE009,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000008,aaa@aaa.com,password
FECE010,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000009,aaa@aaa.com,password
FECE011,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000010,aaa@aaa.com,password
FECE012,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000011,aaa@aaa.com,password
FECE013,A,a,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000012,aaa@aaa.com,password
FECE014,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000013,aaa@aaa.com,password
FECE015,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000014,aaa@aaa.com,password
FECE016,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000015,aaa@aaa.com,password
FECE017,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000016,aaa@aaa.com,password
FECE018,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000017,aaa@aaa.com,password
FECE019,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000018,aaa@aaa.com,password
FECE020,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000019,aaa@aaa.com,password
FECE021,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000020,a.com,password
FECE022,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000021,aaa@aaa.com,password
FECE023,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000022,aaa@aaa.com,password
